[nn_tt_emulation.py:46 -   <module>()] 2023-04-14 00:32:22,061 INFO This is NN-TT Emulation training script
[nn_tt_emulation.py:95 -   <module>()] 2023-04-14 00:32:22,068 INFO ODE-FUNC Model = <class 'phd_experiments.hybrid_node_tt.models.NNodeFunc'> , learnable-numel = 2813
[nn_tt_emulation.py:96 -   <module>()] 2023-04-14 00:32:22,068 INFO Running with config : 
 {'train': {'log-level': 'debug', 'seed': 42, 'N': 1024, 'loss': 'mse', 'device': 'cpu', 'epochs': 1, 'batch_size': 64, 'lr': 0.1, 'dataset': 'boston-housing', 'ratio': 0.8, 'shuffle': True, 'regularization': {'method': 'lp', 'p': 2}, 'dtype': 'torch.float32', 'epochs_block': 100, 'models_dir': '/home/mbaddar/phd/augmented-neural-odes/phd_experiments/hybrid_node_tt/ode_func_models'}, 'init': {'method': 'uniform', 'uniform': {'low': -0.05, 'high': 0.05}, 'normal': {'mean': 0.0, 'std': 0.1}}, 'container': {'latent-dim': 13}, 'projection': {'learnable': False, 'activation': 'identity'}, 'output': {'activation': 'identity', 'learnable': False, 'full': 0.1}, 'ode': {'solver': {'t-span': [0, 0.6], 'method': 'rk45', 'euler': {'step-size': 0.1}, 'rk45': {'rtol': 0.001}}, 'emulation': True, 'model': 'nn', 'tt': {'activation': 'identity', 'rank': '3', 'basis': {'model': 'poly', 'poly': {'deg': 4}, 'rbf': {'window': 1.0}}}, 'nn': {'hidden-dim': 100, 'save': True}}}
=============

[nn_tt_emulation.py:101 -   <module>()] 2023-04-14 00:32:22,068 INFO Generating trajectory dzdt=NN([z,t]) data with trained nn-ode-func
[nn_tt_emulation.py:108 -   <module>()] 2023-04-14 00:32:22,077 INFO Epoch # 0 - Batch # 0 = 0.0003212591400370002
[nn_tt_emulation.py:108 -   <module>()] 2023-04-14 00:32:22,084 INFO Epoch # 0 - Batch # 1 = 0.00012188220716780052
[nn_tt_emulation.py:108 -   <module>()] 2023-04-14 00:32:22,092 INFO Epoch # 0 - Batch # 2 = 0.00012124561180826277
[nn_tt_emulation.py:108 -   <module>()] 2023-04-14 00:32:22,099 INFO Epoch # 0 - Batch # 3 = 8.723224163986742e-05
[nn_tt_emulation.py:108 -   <module>()] 2023-04-14 00:32:22,107 INFO Epoch # 0 - Batch # 4 = 9.916974522639066e-05
[nn_tt_emulation.py:108 -   <module>()] 2023-04-14 00:32:22,114 INFO Epoch # 0 - Batch # 5 = 9.660294745117426e-05
[nn_tt_emulation.py:108 -   <module>()] 2023-04-14 00:32:22,121 INFO Epoch # 0 - Batch # 6 = 0.00048250757390633225
[nn_tt_emulation.py:110 -   <module>()] 2023-04-14 00:32:22,121 INFO ============================================
[nn_tt_emulation.py:111 -   <module>()] 2023-04-14 00:32:22,121 INFO Emulation mode : training tt-ode-func over generated trajectory
[nn_tt_emulation.py:133 -   <module>()] 2023-04-14 00:32:24,430 INFO Emulation - Epoch # 0 - loss => 17.315815756331276
[nn_tt_emulation.py:133 -   <module>()] 2023-04-14 00:32:25,177 INFO Emulation - Epoch # 1 - loss => 17.455905476689853
[nn_tt_emulation.py:133 -   <module>()] 2023-04-14 00:32:25,923 INFO Emulation - Epoch # 2 - loss => 17.082816024879357
[nn_tt_emulation.py:133 -   <module>()] 2023-04-14 00:32:26,669 INFO Emulation - Epoch # 3 - loss => 17.091180355517896
[nn_tt_emulation.py:133 -   <module>()] 2023-04-14 00:32:27,411 INFO Emulation - Epoch # 4 - loss => 17.08100394046668
[nn_tt_emulation.py:133 -   <module>()] 2023-04-14 00:32:28,152 INFO Emulation - Epoch # 5 - loss => 17.126192885559874
[nn_tt_emulation.py:133 -   <module>()] 2023-04-14 00:32:28,895 INFO Emulation - Epoch # 6 - loss => 16.949188096182688
[nn_tt_emulation.py:133 -   <module>()] 2023-04-14 00:32:29,642 INFO Emulation - Epoch # 7 - loss => 16.898689203964167
[nn_tt_emulation.py:133 -   <module>()] 2023-04-14 00:32:30,382 INFO Emulation - Epoch # 8 - loss => 16.925716524000293
[nn_tt_emulation.py:133 -   <module>()] 2023-04-14 00:32:31,127 INFO Emulation - Epoch # 9 - loss => 17.110030397192226
[nn_tt_emulation.py:133 -   <module>()] 2023-04-14 00:32:31,873 INFO Emulation - Epoch # 10 - loss => 17.027529650436335
[nn_tt_emulation.py:133 -   <module>()] 2023-04-14 00:32:32,634 INFO Emulation - Epoch # 11 - loss => 17.32576477579224
